,name,born,ageStart,ageEnd,dateStart,dateEnd,postPresidencyLifespan,died,diedAge,imageURL
0,George Washington,1732,57,65,1789,1797,2.0,1799,67,https://upload.wikimedia.org/wikipedia/commons/b/b6/Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg
1,John Adams,1735,61,65,1797,1801,25.0,1826,90,"https://upload.wikimedia.org/wikipedia/commons/d/df/Official_Presidential_portrait_of_John_Adams_(by_John_Trumbull,_circa_1792).jpg"
2,Thomas Jefferson,1743,57,65,1801,1809,17.0,1826,83,"https://upload.wikimedia.org/wikipedia/commons/b/b1/Official_Presidential_portrait_of_Thomas_Jefferson_(by_Rembrandt_Peale,_1800)(cropped).jpg"
3,James Madison,1751,57,65,1809,1817,19.0,1836,85,https://upload.wikimedia.org/wikipedia/commons/1/1d/James_Madison.jpg
4,James Monroe,1758,58,66,1817,1825,6.0,1831,73,https://upload.wikimedia.org/wikipedia/commons/6/6c/James_Monroe_02.jpg
5,John Quincy Adams,1767,57,61,1825,1829,18.0,1848,80,https://upload.wikimedia.org/wikipedia/commons/2/2a/John_Q._Adams-edit.jpg
6,Andrew Jackson,1767,61,69,1829,1837,8.0,1845,78,https://upload.wikimedia.org/wikipedia/commons/4/43/Andrew_jackson_head.jpg
7,Martin Van Buren,1782,54,58,1837,1841,21.0,1862,79,https://upload.wikimedia.org/wikipedia/commons/1/1a/Martin_Van_Buren.jpg
8,William Henry Harrison,1773,68,68,1841,1841,0.0,1841,68,https://upload.wikimedia.org/wikipedia/commons/3/34/William_Henry_Harrison_by_James_Reid_Lambdin%2C_1835_crop.jpg
9,John Tyler,1790,51,54,1841,1845,16.0,1862,71,https://upload.wikimedia.org/wikipedia/commons/0/00/WHOportTyler.jpg
10,James K. Polk,1795,49,53,1845,1849,10.0,1849,53,https://upload.wikimedia.org/wikipedia/commons/b/bd/JamesKnoxPolk.jpg
11,Zachary Taylor,1784,64,65,1849,1850,0.0,1850,65,https://upload.wikimedia.org/wikipedia/commons/5/51/Zachary_Taylor_restored_and_cropped.jpg
12,Millard Fillmore,1800,50,53,1850,1853,21.0,1874,74,https://upload.wikimedia.org/wikipedia/commons/7/7e/Millard_Fillmore.jpg
13,Franklin Pierce,1804,48,52,1853,1857,12.0,1869,64,https://upload.wikimedia.org/wikipedia/commons/2/29/Franklin_Pierce.jpg
14,Franklin Pierce,1804,48,52,1853,1857,12.0,1869,64,https://upload.wikimedia.org/wikipedia/commons/2/29/Franklin_Pierce.jpg
15,James Buchanan,1791,65,69,1857,1861,7.0,1868,77,"https://upload.wikimedia.org/wikipedia/commons/e/ec/James_Buchanan,_by_George_Peter_Alexander_Healy.jpg"
16,James Buchanan,1791,65,69,1857,1861,7.0,1868,77,"https://upload.wikimedia.org/wikipedia/commons/e/ec/James_Buchanan,_by_George_Peter_Alexander_Healy.jpg"
17,Abraham Lincoln,1809,52,56,1861,1865,0.0,1865,56,https://upload.wikimedia.org/wikipedia/commons/0/03/Abrahamlincoln.jpg
18,Abraham Lincoln,1809,52,56,1861,1865,0.0,1865,56,https://upload.wikimedia.org/wikipedia/commons/0/03/Abrahamlincoln.jpg
19,Andrew Johnson,1808,56,60,1865,1869,6.0,1875,66,https://upload.wikimedia.org/wikipedia/commons/c/ce/President_Andrew_Johnson.jpg
20,Andrew Johnson,1808,56,60,1865,1869,6.0,1875,66,https://upload.wikimedia.org/wikipedia/commons/c/ce/President_Andrew_Johnson.jpg
21,Ulysses S. Grant,1822,46,54,1869,1877,8.0,1885,63,https://upload.wikimedia.org/wikipedia/commons/d/d7/Ugrant.jpeg
22,Ulysses S. Grant,1822,46,54,1869,1877,8.0,1885,63,https://upload.wikimedia.org/wikipedia/commons/d/d7/Ugrant.jpeg
23,Rutherford B. Hayes,1822,54,58,1877,1881,11.0,1893,70,https://upload.wikimedia.org/wikipedia/commons/5/50/President_Rutherford_Hayes_1870_-_1880_Restored.jpg
24,James A. Garfield,1831,49,49,1881,1881,0.0,1881,49,"https://upload.wikimedia.org/wikipedia/commons/1/1f/James_Abram_Garfield,_photo_portrait_seated.jpg"
25,Chester A. Arthur,1829,51,55,1881,1885,1.0,1886,57,https://upload.wikimedia.org/wikipedia/commons/7/79/Chester_Alan_Arthur.jpg
26,Grover Cleveland,1837,47,51,1885,1889,4.0,1908,71,https://upload.wikimedia.org/wikipedia/commons/f/f3/Grover_Cleveland_-_NARA_-_518139_(cropped).jpg
27,Benjamin Harrison,1833,55,59,1889,1893,8.0,1901,67,"https://upload.wikimedia.org/wikipedia/commons/f/f8/Benjamin_Harrison,_head_and_shoulders_bw_photo,_1896.jpg"
28,Grover Cleveland,1837,55,59,1893,1897,11.0,1908,71,https://upload.wikimedia.org/wikipedia/commons/f/f3/Grover_Cleveland_-_NARA_-_518139_(cropped).jpg
29,William McKinley,1843,54,58,1897,1901,0.0,1901,58,https://upload.wikimedia.org/wikipedia/commons/f/f6/William_mckinley.jpg
30,Theodore Roosevelt,1858,42,50,1901,1909,9.0,1919,60,https://upload.wikimedia.org/wikipedia/commons/1/1c/President_Roosevelt_-_Pach_Bros.jpg
31,William Howard Taft,1857,51,55,1909,1913,17.0,1930,72,https://upload.wikimedia.org/wikipedia/commons/e/e1/WmHTaft.jpg
32,Woodrow Wilson,1856,56,64,1913,1921,2.0,1924,67,"https://upload.wikimedia.org/wikipedia/commons/5/53/Thomas_Woodrow_Wilson,_Harris_&_Ewing_bw_photo_portrait,_1919.jpg"
33,Warren G. Harding,1865,55,57,1921,1923,0.0,1923,57,https://upload.wikimedia.org/wikipedia/commons/8/87/Warren_G_Harding_portrait_as_senator_June_1920.jpg
34,Calvin Coolidge,1872,51,56,1923,1929,3.0,1933,60,https://upload.wikimedia.org/wikipedia/commons/a/a3/Calvin_Coolidge_cph.3g10777_(cropped).jpg
35,Herbert Hoover,1874,54,58,1929,1933,31.0,1964,90,https://upload.wikimedia.org/wikipedia/commons/5/57/President_Hoover_portrait.jpg
36,Franklin D. Roosevelt,1882,51,63,1933,1945,0.0,1945,63,https://upload.wikimedia.org/wikipedia/commons/4/42/FDR_1944_Color_Portrait.jpg
37,Harry S. Truman,1884,60,68,1945,1953,19.0,1972,88,https://upload.wikimedia.org/wikipedia/commons/0/0b/TRUMAN_58-766-06_(cropped).jpg
38,Dwight D. Eisenhower,1890,62,70,1953,1961,8.0,1969,78,"https://upload.wikimedia.org/wikipedia/commons/6/63/Dwight_D._Eisenhower,_official_photo_portrait,_May_29,_1959.jpg"
39,John F. Kennedy,1917,43,46,1961,1963,0.0,1963,46,"https://upload.wikimedia.org/wikipedia/commons/c/c3/John_F._Kennedy,_White_House_color_photo_portrait.jpg"
40,Lyndon B. Johnson,1908,55,60,1963,1969,4.0,1973,64,"https://upload.wikimedia.org/wikipedia/commons/7/72/Lyndon_B._Johnson,_photo_portrait,_leaning_on_chair,_color_cropped.jpg"
41,Richard Nixon,1913,56,61,1969,1974[e],19.0,1994,81,"https://upload.wikimedia.org/wikipedia/commons/3/39/Richard_M._Nixon,_ca._1935_-_1982_-_NARA_-_530679.jpg"
42,Gerald Ford,1913,61,63,1974,1977,29.0,2006,93,https://upload.wikimedia.org/wikipedia/commons/3/36/Gerald_Ford_presidential_portrait_(cropped).jpg
43,Jimmy Carter,1924,52,56,1977,1981,42.0,(living),98,https://upload.wikimedia.org/wikipedia/commons/5/5a/JimmyCarterPortrait2.jpg
44,Ronald Reagan,1911,69,77,1981,1989,15.0,2004,93,https://upload.wikimedia.org/wikipedia/commons/1/16/Official_Portrait_of_President_Reagan_1981.jpg
45,George H. W. Bush,1924,64,68,1989,1993,25.0,2018,94,https://upload.wikimedia.org/wikipedia/commons/e/ee/George_H._W._Bush_presidential_portrait_(cropped).jpg
46,Bill Clinton,1946,46,54,1993,2001,22.0,(living),76,https://upload.wikimedia.org/wikipedia/commons/d/d3/Bill_Clinton.jpg
47,George W. Bush,1946,54,62,2001,2009,14.0,(living),76,https://upload.wikimedia.org/wikipedia/commons/d/d4/George-W-Bush.jpeg
48,Barack Obama,1961,47,55,2009,2017,6.0,(living),61,https://upload.wikimedia.org/wikipedia/commons/8/8d/President_Barack_Obama.jpg
49,Donald Trump,1946,70,74,2017,2021,2.0,(living),76,https://upload.wikimedia.org/wikipedia/commons/5/56/Donald_Trump_official_portrait.jpg
50,Joe Biden,1942,78,0,2021,,,(living),80,https://upload.wikimedia.org/wikipedia/commons/6/68/Joe_Biden_presidential_portrait.jpg
